Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6148664,1,Person,Person,Assault: Simple/Intimidation,Lents,2/20/2026,1754,Assault Offenses,1,Simple Assault,,,,,2/20/2026,February 2026
,26-X6148664,1,Property,Property,Robbery,Lents,2/20/2026,1754,Robbery,1,Robbery,,,,,2/20/2026,February 2026
,26-X6148692,2,Person,Person,Assault: Aggravated,Kenton,2/21/2026,17,Assault Offenses,1,Aggravated Assault,,,,,2/21/2026,February 2026
,26-X6148697,1,Property,Property,Vandalism,Lents,2/21/2026,449,Vandalism,1,Vandalism,,,,,2/21/2026,February 2026
,26-X6148702,3,Person,Person,Assault: Simple/Intimidation,Creston-Kenilworth,2/21/2026,1159,Assault Offenses,1,Simple Assault,,,,,2/21/2026,February 2026
,26-X6148702,3,Property,Property,Vandalism,Creston-Kenilworth,2/21/2026,1159,Vandalism,1,Vandalism,,,,,2/21/2026,February 2026
,26-X6148724,1,Person,Person,Assault: Aggravated,Hazelwood,2/21/2026,1327,Assault Offenses,1,Aggravated Assault,,,,,2/21/2026,February 2026
,26-X6148726,4,Society,Society,Other Society Offenses,Pearl,2/21/2026,1748,Pornography/Obscene Material,1,Pornography/Obscene Material,,,,,2/21/2026,February 2026
,26-X6148729,2,Person,Person,Assault: Simple/Intimidation,Kenton,2/21/2026,916,Assault Offenses,1,Simple Assault,,,,,2/21/2026,February 2026
,26-X6148730,1,Person,Person,Assault: Aggravated,Centennial,2/21/2026,1121,Assault Offenses,1,Aggravated Assault,,,,,2/21/2026,February 2026
,26-X6148736,3,Person,Person,Assault: Simple/Intimidation,South Tabor,2/13/2026,1400,Assault Offenses,1,Intimidation,,,,,2/19/2026,February 2026
,26-X6148756,2,Person,Person,Assault: Aggravated,Concordia,2/21/2026,1529,Assault Offenses,1,Aggravated Assault,,,,,2/21/2026,February 2026
,26-X6148787,,Society,Society,Weapon Law Violations,Other,2/10/2026,857,Weapon Law Violations,1,Weapons Law Violations,,,,,2/10/2026,February 2026
,26-X6148852,1,Person,Person,Assault: Aggravated,Lents,2/21/2026,1657,Assault Offenses,1,Aggravated Assault,,,,,2/21/2026,February 2026
,26-X6148852,1,Society,Society,Weapon Law Violations,Lents,2/21/2026,1657,Weapon Law Violations,1,Weapons Law Violations,,,,,2/21/2026,February 2026
,26-X6148853,4,Person,Person,Assault: Simple/Intimidation,Goose Hollow,2/21/2026,1845,Assault Offenses,1,Simple Assault,,,,,2/21/2026,February 2026
,26-X6148856,4,Person,Person,Assault: Simple/Intimidation,West Portland Park,2/21/2026,1859,Assault Offenses,1,Simple Assault,,,,,2/21/2026,February 2026
,26-X6148859,1,Person,Person,Assault: Simple/Intimidation,Lents,2/21/2026,2336,Assault Offenses,1,Simple Assault,,,,,2/21/2026,February 2026
,26-X6148860,1,Person,Person,Assault: Simple/Intimidation,Parkrose Heights,2/21/2026,2347,Assault Offenses,1,Intimidation,,,,,2/21/2026,February 2026
,26-X6148863,3,Person,Person,Assault: Aggravated,Mt Scott-Arleta,2/22/2026,835,Assault Offenses,1,Aggravated Assault,,,,,2/22/2026,February 2026
,26-X6148870,1,Person,Person,Assault: Simple/Intimidation,Mill Park,2/22/2026,1046,Assault Offenses,1,Simple Assault,,,,,2/22/2026,February 2026
,26-X6148879,3,Property,Property,Larceny: Other,Brentwood-Darlington,2/10/2026,1347,Larceny Offenses,1,All Other Larceny,,,,,2/10/2026,February 2026
,26-X6148956,,Person,Person,Sex Offenses,Other,12/1/2013,0,Sex Offenses,1,Rape,,,,,2/22/2026,February 2026
